feature,total_gain
torsion_564,4.0
desc_fr_thiophene,4.0
morgan_1188,4.0
atompair_1296,4.0
maccs_27,4.0
morgan_567,4.0
morgan_570,4.0
morgan_650,4.0
maccs_56,4.0
torsion_1577,4.0
torsion_1524,4.0
torsion_468,4.0
morgan_1197,4.0
morgan_1199,4.0
morgan_1168,4.0
torsion_540,4.0
torsion_557,4.0
morgan_1104,4.0
torsion_612,4.0
torsion_617,4.0
morgan_580,4.0
torsion_1534,4.0
torsion_1664,4.0
torsion_1668,4.0
maccs_133,4.0
morgan_536,4.0
maccs_106,4.0
maccs_111,4.0
maccs_120,4.0
atompair_1328,4.0
morgan_552,4.0
torsion_1684,4.0
atompair_1332,4.0
maccs_53,4.0
maccs_93,4.0
maccs_137,4.0
atompair_1381,4.0
morgan_514,4.0
maccs_152,4.0
atompair_553,4.0
torsion_661,4.0
torsion_693,4.0
atompair_549,4.0
atompair_689,4.0
torsion_500,4.0
torsion_632,4.0
morgan_2027,4.0
atompair_1409,4.0
atompair_1378,4.0
morgan_2009,4.0
morgan_2016,4.0
morgan_1992,4.0
morgan_461,4.0
torsion_1719,4.0
torsion_1725,4.0
torsion_1364,4.0
atompair_1268,4.0
atompair_1472,4.0
atompair_1485,4.0
atompair_1493,4.0
atompair_1462,4.0
atompair_1219,4.0
atompair_1221,4.0
atompair_48,4.0
atompair_1238,4.0
atompair_1180,4.0
atompair_1182,4.0
atompair_65,4.0
atompair_465,4.0
atompair_533,4.0
torsion_473,4.0
torsion_704,4.0
torsion_712,4.0
atompair_1524,4.0
atompair_1480,4.0
morgan_739,4.0
atompair_1520,4.0
morgan_1887,4.0
morgan_789,4.0
morgan_792,4.0
atompair_1545,4.0
torsion_1824,4.0
atompair_105,4.0
morgan_1915,4.0
torsion_1781,4.0
morgan_1850,4.0
torsion_1765,4.0
atompair_1600,4.0
morgan_1865,4.0
atompair_1588,4.0
torsion_1320,4.0
atompair_1596,4.0
atompair_1597,4.0
atompair_1194,4.0
atompair_1622,4.0
atompair_1637,4.0
atompair_1572,4.0
